e210,,Owl6%,,Owl 6.5%,,Owl 11.36%,,s1223,
CL,CD,CL,CD,CL,CD,CL,CD,CL,CD
,,-0.4263,0.2536,-0.6187,0.254,,,,
,,-0.4092,0.24578,-0.5902,0.24649,-0.4434,0.24842,,
,,-0.3965,0.23852,-0.5631,0.2385,-0.2839,0.24054,,
,,-0.3809,0.23251,-0.5386,0.23009,-0.2765,0.23693,-0.4713,0.27181
,,-0.3734,0.22732,-0.5101,0.22229,-0.2706,0.23303,-0.4464,0.26168
,,-0.3602,0.222,-0.4857,0.21411,-0.266,0.228,-0.4221,0.25247
-0.4527,0.21848,-0.354,0.21798,-0.4607,0.20557,-0.2611,0.2213,-0.4,0.24443
-0.4279,0.20594,-0.3491,0.21123,-0.4357,0.19772,-0.2531,0.21425,-0.2534,0.17361
-0.4039,0.19396,-0.3435,0.20336,-0.4147,0.18907,-0.2464,0.20697,-0.235,0.16481
-0.3813,0.1826,-0.3367,0.19413,-0.3914,0.18119,-0.2411,0.19922,-0.2197,0.15649
-0.361,0.17229,-0.3376,0.18406,-0.3723,0.17263,-0.2383,0.19123,-0.2083,0.14868
-0.348,0.16401,-0.3211,0.17397,-0.3585,0.16467,-0.1893,0.15936,-0.1378,0.13582
-0.3328,0.15183,-0.3138,0.16314,-0.3346,0.15621,-0.0661,0.14371,-0.0618,0.12254
-0.3211,0.13841,-0.3081,0.15233,-0.3206,0.14754,0.002,0.13313,0.0059,0.11233
-0.3386,0.10489,-0.305,0.14202,-0.3103,0.13909,0.0721,0.12126,0.0828,0.09999
-0.4046,0.07433,-0.2986,0.12276,-0.2817,0.12592,0.1263,0.11095,0.1253,0.08467
-0.3432,0.04107,-0.3071,0.11177,-0.2807,0.11473,0.1694,0.1021,0.201,0.0718
-0.0838,0.0198,-0.2939,0.10288,-0.2426,0.10361,0.2022,0.09294,0.4398,0.05341
0.2027,0.01132,-0.0893,0.07422,-0.1731,0.09112,0.2634,0.08151,0.5268,0.04263
0.3205,0.01156,0.0397,0.05898,-0.0782,0.07664,0.3217,0.07045,1.0137,0.01851
0.4288,0.01188,0.4169,0.01878,0.056,0.06071,0.4226,0.05826,1.1772,0.01808
0.534,0.01212,0.525,0.01861,0.4647,0.01918,0.6193,0.04625,1.3044,0.01945
0.6384,0.01246,0.6343,0.01856,0.5728,0.0188,1.1854,0.02861,1.4253,0.02041
0.7388,0.01303,0.7439,0.01887,0.683,0.01888,1.3746,0.0241,1.6433,0.02308
0.8492,0.01311,0.8538,0.01949,0.7918,0.01909,1.5804,0.02635,1.7458,0.02479
0.9614,0.01451,0.9612,0.02014,0.9003,0.01957,1.6858,0.02788,1.8452,0.02657
1.0639,0.01517,1.0655,0.02088,1.0077,0.02027,1.7666,0.02948,1.9451,0.02973
1.1673,0.01632,1.171,0.02177,1.1134,0.02119,1.8544,0.03158,2.0214,0.03133
1.2642,0.01665,1.2737,0.02269,1.219,0.02222,1.9494,0.03313,2.1024,0.033
1.3328,0.01659,1.3726,0.0232,1.3205,0.02311,2.0023,0.03625,2.1571,0.03583
1.4005,0.01815,1.4705,0.02504,1.4198,0.02351,2.0973,0.03905,2.1909,0.03709
1.4263,0.0214,1.5662,0.027,1.5175,0.02538,2.2076,0.04553,2.2143,0.04058
1.4258,0.0273,1.6502,0.02931,1.6083,0.02746,2.253,0.04982,2.2314,0.04422
1.4007,0.03717,1.729,0.03179,1.6949,0.0297,2.2783,0.05555,2.2201,0.05121
1.3599,0.05139,1.7997,0.03448,1.7745,0.03216,2.2942,0.0622,2.1983,0.06166
1.3288,0.06737,1.8603,0.03733,1.8438,0.0349,2.2599,0.07292,,
1.2913,0.08623,1.9097,0.04012,1.8989,0.03792,2.1972,0.0875,,
1.2718,0.10163,1.9028,0.04466,1.9388,0.041,1.5083,0.24305,,
1.2359,0.13623,1.8971,0.05043,1.9601,0.04485,1.2739,0.35082,,
1.2017,0.1634,1.8995,0.05671,1.9391,0.05145,,,,
1.1475,0.20294,1.2174,0.23394,1.9324,0.05863,,,,
1.02,0.29036,1.2364,0.24341,,,,,,
0.9078,0.29907,1.2545,0.25317,,,,,,
0.88,0.30687,1.2871,0.25717,,,,,,
0.8664,0.31415,,,,,,,,
0.86,0.32048,,,,,,,,
