xflr5 v6.48

 Calculated polar for: owl 6% camber

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-25.000,-0.4263, 0.25360, 0.24972, 0.0035,1.0000,0.0264,-0.9530, 0.0000, 0.2439
-24.000,-0.4092, 0.24578, 0.24187,-0.0013,1.0000,0.0290,-0.9826, 0.0000, 0.2325
-23.000,-0.3965, 0.23852, 0.23460,-0.0052,1.0000,0.0298,-1.0400, 0.0000, 0.2222
-22.000,-0.3809, 0.23251, 0.22858,-0.0076,1.0000,0.0318,-0.9986, 0.0000, 0.2157
-21.000,-0.3734, 0.22732, 0.22337,-0.0108,1.0000,0.0342,-1.1067, 0.0000, 0.2061
-20.000,-0.3602, 0.22200, 0.21807,-0.0116,1.0000,0.0355,-1.0597, 0.0000, 0.2031
-19.000,-0.3540, 0.21798, 0.21403,-0.0126,1.0000,0.0384,-1.0962, 0.0000, 0.1992
-18.000,-0.3491, 0.21123, 0.20730,-0.0133,1.0000,0.0400,-1.1371, 0.0000, 0.1965
-17.000,-0.3435, 0.20336, 0.19943,-0.0138,1.0000,0.0433,-1.1760, 0.0000, 0.1941
-16.000,-0.3367, 0.19413, 0.19022,-0.0139,1.0000,0.0451,-1.1955, 0.0000, 0.1932
-15.000,-0.3376, 0.18406, 0.18017,-0.0155,1.0000,0.0485,-1.3303, 0.0000, 0.1885
-14.000,-0.3211, 0.17397, 0.17012,-0.0138,1.0000,0.0516,-1.2355, 0.0000, 0.1918
-13.000,-0.3138, 0.16314, 0.15934,-0.0137,1.0000,0.0545,-1.2855, 0.0000, 0.1916
-12.000,-0.3081, 0.15233, 0.14860,-0.0138,1.0000,0.0585,-1.3370, 0.0000, 0.1912
-11.000,-0.3050, 0.14202, 0.13836,-0.0139,1.0000,0.0629,-1.4041, 0.0000, 0.1912
 -9.000,-0.2986, 0.12276, 0.11929,-0.0120,1.0000,0.0722,-1.4696, 0.0000, 0.1988
 -8.000,-0.3071, 0.11177, 0.10839,-0.0100,1.0000,0.0769,-1.5251, 0.0000, 0.2077
 -7.000,-0.2939, 0.10288, 0.09964,-0.0086,0.9984,0.0820,-1.4877, 0.0000, 0.2121
 -5.000,-0.0893, 0.07422, 0.07094,-0.0511,0.9464,0.1025,-1.2941, 0.0000,-0.3433
 -4.000, 0.0397, 0.05898, 0.05566,-0.0731,0.8993,0.1180,-1.1733, 0.0000, 2.1275
 -2.000, 0.4169, 0.01878, 0.01017,-0.1422,0.4484,0.1453,-1.2569, 0.0000, 0.5922
 -1.000, 0.5250, 0.01861, 0.00940,-0.1404,0.4088,0.1647,-1.0737, 0.0000, 0.5164
  0.000, 0.6343, 0.01856, 0.00899,-0.1386,0.3795,0.1866,-1.2201, 0.0000, 0.4659
  1.000, 0.7439, 0.01887, 0.00903,-0.1368,0.3562,0.2102,-1.3770, 0.0000, 0.4299
  2.000, 0.8538, 0.01949, 0.00949,-0.1352,0.3363,0.2361,-1.5444, 0.0000, 0.4031
  3.000, 0.9612, 0.02014, 0.01011,-0.1331,0.3188,0.2655,-1.7192, 0.0000, 0.3820
  4.000, 1.0655, 0.02088, 0.01099,-0.1305,0.3030,0.2983,-1.9020, 0.0000, 0.3647
  5.000, 1.1710, 0.02177, 0.01193,-0.1283,0.2895,0.3401,-2.0984, 0.0000, 0.3505
  6.000, 1.2737, 0.02269, 0.01303,-0.1258,0.2770,0.3996,-2.3039, 0.0000, 0.3383
  7.000, 1.3726, 0.02320, 0.01447,-0.1227,0.2649,1.0000,-2.5165, 0.0000, 0.3274
  8.000, 1.4705, 0.02504, 0.01623,-0.1195,0.2536,1.0000,-2.7417, 0.0000, 0.3177
  9.000, 1.5662, 0.02700, 0.01819,-0.1163,0.2431,1.0000,-2.9806, 0.0000, 0.3091
 10.000, 1.6502, 0.02931, 0.02078,-0.1113,0.2325,1.0000,-3.2159, 0.0000, 0.3006
 11.000, 1.7290, 0.03179, 0.02354,-0.1058,0.2225,1.0000,-3.4620, 0.0000, 0.2925
 12.000, 1.7997, 0.03448, 0.02654,-0.0993,0.2131,1.0000,-3.7163, 0.0000, 0.2847
 13.000, 1.8603, 0.03733, 0.02969,-0.0917,0.2041,1.0000,-3.9833, 0.0000, 0.2769
 14.000, 1.9097, 0.04012, 0.03274,-0.0827,0.1957,1.0000,-4.3082, 0.0000, 0.2689
 15.000, 1.9028, 0.04466, 0.03790,-0.0676,0.1876,1.0000,-4.5630, 0.0000, 0.2592
 16.000, 1.8971, 0.05043, 0.04415,-0.0564,0.1797,1.0000,-4.8410, 0.0000, 0.2513
 17.000, 1.8995, 0.05671, 0.05075,-0.0492,0.1716,1.0000,-5.1623, 0.0000, 0.2451
 22.000, 1.2174, 0.23394, 0.22990,-0.1591,0.0997,1.0000,-2.5285, 0.0000, 0.3457
 23.000, 1.2364, 0.24341, 0.23946,-0.1663,0.0883,1.0000,-2.7796, 0.0000, 0.3473
 24.000, 1.2545, 0.25317, 0.24930,-0.1737,0.0796,1.0000,-3.0455, 0.0000, 0.3489
 25.000, 1.2871, 0.25717, 0.25338,-0.1776,0.0632,1.0000,-3.1954, 0.0000, 0.3450


